응답자ID,ID,나이,성별,실내환경1,실내환경2,실내환경3,실내환경4,실내환경5,실내환경6,실내환경7,실내환경8,실외환경1,실외환경2,주변편의시설1,주변편의시설2,공동시설1,공동시설2,공동시설3,공동시설4,공동시설5,공동시설6,경제성1
a1,한우리집,23,여,3,3,4,4,4,4,3,4,3,5,4,4,3,4,5,4,4,4,0
a2,한우리집,22,여,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
a3,한우리집,20,여,4,3,4,4,5,4,4,4,5,3,5,4,4,3,5,4,5,5,0
a4,E-house,21,여,2,2,5,3,5,4,5,3,4,5,3,5,3,3,5,5,3,3,0
a5,E-house,22,여,3,3,4,4,5,4,5,2,4,5,4,3,5,3,5,4,5,5,0
a6,E-house,22,여,3,3,4,5,4,3,4,5,3,4,5,4,4,3,5,5,3,3,0
a7,I-house,22,여,3,4,4,5,5,4,3,5,4,5,3,5,3,3,5,4,3,3,0
a8,I-house,22,여,4,3,5,4,4,4,5,3,3,4,4,4,4,3,4,5,2,4,0
a9,I-house,21,여,4,3,4,5,5,5,4,3,4,4,5,4,5,5,5,5,4,4,0
a10,무악학사,22,남,3,2,4,4,3,3,2,4,2,3,4,4,3,4,4,5,3,5,0
a11,무악학사,23,남,2,3,4,3,4,4,3,2,4,4,5,4,4,3,4,4,2,4,0
a12,무악학사,24,여,3,2,5,3,4,4,3,2,4,5,5,5,3,4,3,4,4,4,0
a13,곤자가국제학사,22,남,3,3,5,3,3,4,3,5,3,3,5,4,4,5,4,4,3,3,0
a14,곤자가국제학사,21,남,4,3,5,5,4,3,4,4,2,4,5,5,2,2,5,5,2,2,0
a15,곤자가국제학사,20,남,2,3,5,4,4,3,2,3,4,3,5,4,5,2,3,4,4,4,0
a16,벨라르미노학사,22,남,1,3,4,5,4,5,4,4,5,4,5,5,3,2,2,4,3,4,0
a17,벨라르미노학사,23,여,3,3,4,4,3,3,3,3,2,2,5,5,2,3,4,5,4,4,0
a18,벨라르미노학사,25,남,3,5,5,4,3,4,3,2,3,3,5,4,4,4,5,4,3,3,0
a19,그레이스 하우스,24,여,4,5,5,5,5,4,5,4,4,4,5,3,4,2,3,4,0,0,0
a20,그레이스 하우스,23,여,4,5,5,5,5,5,4,5,5,4,5,4,4,5,3,3,0,0,0
a21,그레이스 하우스,22,여,5,4,5,4,5,5,4,2,2,3,5,2,3,4,4,5,0,0,0
a22,이화랑,21,여,2,4,4,4,3,3,5,5,3,2,5,4,3,3,3,4,0,0,0
a23,이화랑,20,여,3,3,5,5,4,3,3,4,4,5,5,5,5,4,3,3,0,0,0
a24,이화랑,26,여,3,5,5,4,4,4,4,3,5,3,5,4,3,2,2,5,0,0,0
a25,마에스트로,27,여,3,4,4,4,3,5,5,5,3,4,4,5,3,3,4,4,0,0,0
a26,마에스트로,25,여,3,4,4,4,3,3,3,4,4,5,4,4,3,4,3,3,0,0,0
a27,마에스트로,23,여,3,4,5,5,3,5,4,4,4,3,4,4,3,3,3,4,0,0,0
a28,인비따레 오피스텔,24,여,5,4,5,4,5,2,5,3,5,4,3,2,3,5,4,4,0,0,6
