ID,보증금,월세,관리비,전용면적,비고
한우리집,,33,,,기숙사 2인실
E-house,,25,,,기숙사 2인실
I-house,,29,,,기숙사 2인실
무악학사,,20,,2.5,기숙사
곤자가국제학사,,45,,,기숙사 2인실
벨라르미노학사,,26,,,기숙사 4인실
그레이스 하우스,1000,50,8,6,
이화랑,1000,55,,,
마에스트로,1000,70,,4,
인비따레 오피스텔,1000,65,,7,
진탁주택,500,47,,8,
연희 노블레스,1000,50,,10,
대우아트빌,1000,62,,8,
연희동 원룸1,1000,45,,6.3,
힐탑하우스,500,43,,7.5,
아남 오피스텔,1000,63,,7.8,
창천동 원룸1,2000,50,,5,
창천동 원룸2,1000,50,,6,
서연,2000,50,,8,
창천동 원룸3,1000,40,,4,
신영스카이텔,1000,70,,8.6,
르메이에르타운5,1000,65,,9.5,
라인빌,1000,65,,3.6,
창천동 원룸4,1000,65,,15,
대신동 원룸,500,35,,,
제이스퀘어,1000,70,,,
홍익오피스텔,1000,65,,,
리더스힐,1000,55,,,
대신동 원룸2,1000,45,,4.5,
한지원룸,1000,50,,,
그레이스타워,1000,52,,7,
대신동 원룸3,500,40,,4,
금란빌라,1000,70,,9.7,
드림힐,500,45,,7,
McCoy 하우스,7500,20,,8,
동원주택,1000,50,,7,
우정마샹스,400,30,,4,
일반원룸,500,50,,6,
스테이하이,1500,80,,,
르메이에르타운1차,1000,50,,,
배꽃원룸텔,0,43,,,
소호하우스,0,54,,3.25,
오투레지던스,0,40,,,
서울고시원,0,19,,,
샘골리빙룸,0,37,,,
신촌고시원,0,33,,,
멀티하우스 연대점,0,35,,,
노블레지던스,0,40,,,
유니하우스,0,45,,,
이지리빙텔,0,33,,,
신촌웰빙고시텔,0,39,,,
캔빌고시원,1000,65,,,
다솔베르크원룸텔,0,45,,,
이채하숙,0,40,,,
다룸,100,47,,,
이화블로섬하우스,100,55,,,
지니하숙,0,30,,,
월드컵하숙,0,43,,,
이연하숙,0,40,,,
비바힐하숙,0,35,,,
재혁이네 하숙집,0,40,,,
샬롬하숙,500,57,,,
동문하숙,0,50,,,
선이네 하숙,1000,70,,,
꼭지네 하숙,1000,65,,,
집밥하숙,0,50,,,
비가온,70,42,6.5,,
공상가 연세1호점,0,49,,,
연희동 쉐어하우스1,750,29,,,
사라바 쉐어하우스,30,47,,,
