ID,주거형태,위치,주소,도로명주소,xy좌표,이화여대시간,연세대시간,서강대시간
한우리집,기숙사,이화여대,서대문구 북아현동 11-1,서대문구 이화여대길 52,"126.9502882721,37.5644640671,서대문구 이화여대길 52",0,16,33
E-house,기숙사,이화여대,서대문구 북아현동 1-1612,서대문구 이화여대길 52,"126.9502882721,37.5644640671,서대문구 이화여대길 52",0,16,33
I-house,기숙사,이화여대,서대문구 대신동 35-1,서대문구 이화여대길 52,"126.9502882721,37.5644640671,서대문구 이화여대길 52",0,16,33
무악학사,기숙사,연세대,서대문구 연희동 7,서대문구 연세로 50,"126.942931621,37.5638048151,서대문구 연세로 50",16,0,36
곤자가국제학사,기숙사,서강대,마포구 대흥동 1-1,마포구 백범로 35,"126.9430270357,37.5514684075,마포구 백범로 35",31,34,3
벨라르미노학사,기숙사,서강대,마포구 신수동 22-2,마포구 서강대길 18,"126.9401318126,37.5491423995,마포구 서강대길 18",35,34,9
그레이스 하우스,원룸,대현동,서대문구 대현동 37-18,서대문구 이화여대5길 23,"126.9444343383,37.5582373724,서대문구 이화여대5길 23",16,16,20
이화랑,원룸,대현동,서대문구 대현동 53-33,서대문구 이화여대2가길 8,"126.9463315555,37.5577336916,서대문구 이화여대2가길 8",16,19,18
마에스트로,원룸,대현동,서대문구 대현동 150,서대문구 이화여대2나길 11,"126.9464717555,37.5579283706,서대문구 이화여대2나길 11",16,20,19
인비따레 오피스텔,원룸,대현동,서대문구 대현동 45-5,서대문구 신촌로 169,"126.9448653609,37.5569509504,서대문구 신촌로 169",18,19,17
진탁주택,원룸,연희동,서대문구 연희동 339-64,서대문구 연희로10가길 12,"126.9324593237,37.564170499,서대문구 연희로10가길 12",37,24,36
연희 노블레스,원룸,연희동,서대문구 연희동 136-12,서대문구 연희로 12길 13,"126.9318319794,37.5669740378,서대문구 연희로 12길 13",42,30,42
대우아트빌,원룸,연희동,서대문구 연희동 353-86,서대문구 연희로 38-18,"126.9284410397,37.5619733049,서대문구 연희로 38-18",43,31,36
연희동 원룸1,원룸,연희동,서대문구 연희동 302-8,서대문구 연희로12길 28-14,"126.932697512,37.5661348063,서대문구 연희로12길 28-14",40,28,40
힐탑하우스,원룸,연희동,서대문구 연희동 48-16,서대문구 연희로16길 16,"126.9325602875,37.5676844407,서대문구 연희로16길 16",44,32,44
아남 오피스텔,원룸,창천동,서대문구 창천동 20-41,서대문구 신촌로 121,"126.9392977249,37.5562057975,서대문구 신촌로 121",25,18,18
창천동 원룸1,원룸,창천동,서대문구 창천동 78-20,서대문구 연세로 13길 9,"126.9364024747,37.5591595441,서대문구 연세로 13길 9",25,14,23
창천동 원룸2,원룸,창천동,서대문구 창천동 62-38,서대문구 연세로5나길 43-3,"126.9336744684,37.55704971,서대문구 연세로5나길 43-3",30,22,22
서연,원룸,창천동,서대문구 창천동 100-81,서대문구 신촌로7안길 28,"126.9310147173,37.5596358494,서대문구 신촌로7안길 28",33,23,27
창천동 원룸3,원룸,창천동,서대문구 창천동 90-36,서대문구 신촌로7길 57,"126.9327033799,37.5596115961,서대문구 신촌로7길 57",33,22,27
신영스카이텔,원룸,창천동,서대문구 창천동 20-51,서대문구 신촌로 119,"126.9390170817,37.5561696129,서대문구 신촌로 119",25,18,18
르메이에르타운5,원룸,창천동,서대문구 창천동 29-81,서대문구 신촌로 109,"126.9377996069,37.5558302028,서대문구 신촌로 109",28,19,18
라인빌,원룸,창천동,서대문구 창천동 4-114,서대문구 연세로2다길 37,"126.9401298526,37.5572513792,서대문구 연세로2다길 37",23,17,21
창천동 원룸4,원룸,창천동,서대문구 창천동 4-30,서대문구 연세로2라길 37-15,"126.941120699,37.5579834872,서대문구 연세로2라길 37-15",21,14,24
대신동 원룸,원룸,대신동,서대문구 신촌동 2-195,서대문구 성산로 24길 1-18,"126.9479952161,37.5675589013,서대문구 성산로 24길 1-18",14,12,43
제이스퀘어,원룸,대신동,서대문구 신촌동 2-97,서대문구 성산로 24길 9,"126.9476876675,37.5670830397,서대문구 성산로 24길 9",13,11,43
홍익오피스텔,원룸,대신동,서대문구 신촌동 1-9,서대문구 성산로 573-74,"126.9471440583,37.5674972556,서대문구 성산로 573-74",17,11,43
리더스힐,원룸,대신동,서대문구 대신동 124-4,서대문구 연대동문길 122,"126.9460212763,37.5673886281,서대문구 연대동문길 122",17,10,43
대신동 원룸2,원룸,대신동,서대문구 대신동 127-18,서대문구 연대동문길 140,"126.9457308684,37.5682678667,서대문구 연대동문길 140",19,12,44
한지원룸,원룸,대신동,서대문구 대신동 144,서대문구 연대동문길 113,"126.9458088133,37.566923617,서대문구 연대동문길 113",16,10,42
그레이스타워,원룸,대신동,서대문구 대신동 139-7,서대문구 연대동문1길 34,"126.9451918202,37.568609996,서대문구 연대동문1길 34",20,13,46
대신동 원룸3,원룸,대신동,서대문구 대신동 16-12,서대문구 성산로 492,"126.9417203171,37.5611733137,서대문구 성산로 492",17,7,30
금란빌라,원룸,대신동,서대문구 대신동 127-27,연대동문길 128,"126.9459486879,37.567590418,연대동문길 128",18,11,43
드림힐,원룸,대신동,서대문구 대신동 127-25,서대문구 연대동문길 132,"126.945885165,37.567777796,서대문구 연대동문길 132",18,11,44
McCoy 하우스,원룸,노고산동,마포구 노고산동 54-30,마포구 신촌로16길 22,"126.9344370205,37.5547543945,마포구 신촌로16길 22",33,25,18
동원주택,원룸,노고산동,마포구 노고산동 107-75,마포구 서강로18길 43-6,"126.9364989906,37.5521210038,마포구 서강로18길 43-6",34,28,12
우정마샹스,원룸,노고산동,마포구 노고산동 107-17,마포구 백범로 8,"126.9367327903,37.5540024129,마포구 백범로 8",31,24,13
일반원룸,원룸,노고산동,마포구 노고산동 4-59,마포구 신촌로24안길 4,"126.9416704147,37.5554970074,마포구 신촌로24안길 4",24,20,17
스테이하이,원룸,노고산동,마포구 노고산동 56-107,마포구 신촌로12다길 20,"126.9336132897,37.5545701307,마포구 신촌로12다길 20",34,25,19
르메이에르타운1차,원룸,노고산동,마포구 노고산동 57-18,마포구 서강로 137-7,"126.9354418563,37.5549099198,마포구 서강로 137-7",31,22,17
배꽃원룸텔,고시원,대현동,서대문구 대현동 54-5,서대문구 이화여대길 34,"126.9459462338,37.5584543135,서대문구 이화여대길 34",14,18,19
소호하우스,고시원,대현동,서대문구 대현동 27-27,서대문구 신촌역로 20,"126.9431394806,37.5583773114,서대문구 신촌역로 20",17,14,23
오투레지던스,고시원,대현동,서대문구 대현동 101-12,서대문구 신촌역로 6,"126.9430995506,37.5573069076,서대문구 신촌역로 6",19,16,20
서울고시원,고시원,연희동,서대문구 연희동 344-56,서대문구 성산로 384-5,"126.9308174425,37.5624540514,서대문구 성산로 384-5",35,22,34
샘골리빙룸,고시원,연희동,서대문구 연희동 344-21,서대문구 성산로17길 7-29,"126.9315497562,37.5636762293,서대문구 성산로17길 7-29",35,23,35
신촌고시원,고시원,창천동,서대문구 창천동 57-5,서대문구 연세로 7길 27,"126.9352267993,37.5575587343,서대문구 연세로 7길 27",28,19,22
멀티하우스 연대점,고시원,창천동,서대문구 창천동 31-21,서대문구 명물1길 16,"126.9373358566,37.5582194023,서대문구 명물1길 16",25,16,21
노블레지던스,고시원,창천동,서대문구 창천동 5-21,서대문구 명물길 66,"126.9398659781,37.5588766439,서대문구 명물길 66",21,12,24
유니하우스,고시원,대신동,서대문구 대신동 85-5,서대문구 연대동문길 37,"126.9440994414,37.5641513563,서대문구 연대동문길 37",17,3,36
이지리빙텔,고시원,대신동,서대문구 대신동 16-15,서대문구 성산로 494-30,"126.9413766873,37.5606073177,서대문구 성산로 494-30",17,8,28
신촌웰빙고시텔,고시원,대신동,서대문구 대신동 16-21,서대문구 성산로 486,"126.9412679372,37.5607297992,서대문구 성산로 486",18,8,29
캔빌고시원,고시원,노고산동,마포구 노고산동 31-9,마포구 백범로1길 17,"126.9377824159,37.5547273728,마포구 백범로1길 17",29,21,14
다솔베르크원룸텔,고시원,노고산동,마포구 노고산동 49-56,마포구 신촌로14길 6,"126.9337570619,37.5557991721,마포구 신촌로14길 6",32,23,19
이채하숙,하숙,대현동,서대문구 대현동 60-5,서대문구 이화여대길 50-10,"126.946294369,37.5590851703,서대문구 이화여대길 50-10",14,13,21
다룸,하숙,대현동,서대문구 대현동 53-35,서대문구 이화여대2나길 5,"126.9465172427,37.5576256562,서대문구 이화여대2나길 5",17,20,19
이화블로섬하우스,하숙,대현동,서대문구 대현동 90-36,서대문구 이화여대1안길 13,"126.9443533918,37.5575093285,서대문구 이화여대1안길 13",17,17,19
지니하숙,하숙,창천동,서대문구 창천동 67-85,서대문구 신촌로11길 45,"126.9335462937,37.5586462048,서대문구 신촌로11길 45",29,19,24
월드컵하숙,하숙,창천동,서대문구 창천동 4-92,서대문구 연세로2다길 95,"126.9414686277,37.5588233895,서대문구 연세로2다길 95",19,13,25
이연하숙,하숙,창천동,서대문구 창천동 4-81,서대문구 신촌역로 41-6,"126.9407488273,37.5588050105,서대문구 신촌역로 41-6",20,12,26
비바힐하숙,하숙,창천동,서대문구 창천동 4-103,서대문구 연세로2다길 27,"126.9396319799,37.5571249861,서대문구 연세로2다길 27",24,16,20
재혁이네 하숙집,하숙,대신동,서대문구 대신동 124-15,서대문구 봉원사길 11-1,"126.9462886175,37.5670968274,서대문구 봉원사길 11-1",17,10,42
샬롬하숙,하숙,대신동,서대문구 대신동 119-4,서대문구 연대동문길 109,"126.9457908125,37.5667722414,서대문구 연대동문길 109",16,10,42
동문하숙,하숙,대신동,서대문구 대신동 119-1,서대문구 연대동문길 111,"126.9459266306,37.5667867196,서대문구 연대동문길 111",16,9,42
선이네 하숙,하숙,대신동,서대문구 대신동 91-12,서대문구 연대동문길 55,"126.9448731589,37.5648004374,서대문구 연대동문길 55",18,4,38
꼭지네 하숙,하숙,대신동,서대문구 대신동 141-7,서대문구 봉원사길 41-7,"126.9456129278,37.568570547,서대문구 봉원사길 41-7",19,13,45
집밥하숙,하숙,노고산동,마포구 노고산동 31-42,마포구 신촌로20길 26,"126.9383849728,37.5541438423,마포구 신촌로20길 26",29,22,14
비가온,쉐어하우스,대현동,서대문구 대현동 144,서대문구 이화여대길 50-12,"126.9465204639,37.5594528797,서대문구 이화여대길 50-12",15,14,22
공상가 연세1호점,쉐어하우스,연희동,서대문구 연희동 305-5,서대문구 연희로10길 31,"126.9322406575,37.5656588192,서대문구 연희로10길 31",39,27,39
연희동 쉐어하우스1,쉐어하우스,연희동,서대문구 연희동 340-40,연희로10가길 51-27,"126.9316123594,37.5645304099,연희로10가길 51-27",37,25,37
사라바 쉐어하우스,쉐어하우스,창천동,서대문구 창천동 52-156 3층,서대문구 연세로 11길 22 3층,"126.9356329728,37.5590257796,서대문구 연세로 11길 22 3층",26,16,24
