ID,주거형태,위치,주소,도로명주소,xy좌표,이화여대시간,연세대시간,서강대시간,보증금,월세,관리비,전용면적,비고,음식점,카페,병원/의료,은행,마트/슈퍼,편의점,생활/편의,영화/공연,스포츠시설,관공서,특이사항,편의시설점수,실내환경1,실내환경2,실내환경3,실내환경4,실내환경5,실내환경6,실내환경7,실내환경8,실외환경1,실외환경2,주변편의시설1,주변편의시설2,공동시설1,공동시설2,공동시설3,공동시설4,공동시설5,공동시설6,실내환경설문,실외환경설문,주변편의설문,공동시설설문,비용1,비용2
한우리집,기숙사,이화여대,서대문구 북아현동 11-1,서대문구 이화여대길 52,"126.9502882721,37.5644640671,서대문구 이화여대길 52",0,16,33,0.0,33.0,0.0,,기숙사 2인실,23.546875,9.125,5.609375,0.734375,0.6875,2.578125,10.1875,0.3125,2.09375,0.828125,,0.0,3.3333333333333335,3.0,3.6666666666666665,3.6666666666666665,4.0,3.6666666666666665,3.3333333333333335,3.6666666666666665,3.6666666666666665,3.6666666666666665,4.0,3.6666666666666665,3.3333333333333335,3.3333333333333335,4.333333333333333,3.6666666666666665,4.0,4.0,3.541666666666667,3.6666666666666665,3.833333333333333,3.7777777777777772,6600.0,33.0
E-house,기숙사,이화여대,서대문구 북아현동 1-1612,서대문구 이화여대길 52,"126.9502882721,37.5644640671,서대문구 이화여대길 52",0,16,33,0.0,25.0,0.0,,기숙사 2인실,23.546875,9.125,5.609375,0.734375,0.6875,2.578125,10.1875,0.3125,2.09375,0.828125,,0.0,2.6666666666666665,2.6666666666666665,4.333333333333333,4.0,4.666666666666667,3.6666666666666665,4.666666666666667,3.3333333333333335,3.6666666666666665,4.666666666666667,4.0,4.0,4.0,3.0,5.0,4.666666666666667,3.6666666666666665,3.6666666666666665,3.75,4.166666666666667,4.0,4.000000000000001,5000.0,25.0
I-house,기숙사,이화여대,서대문구 대신동 35-1,서대문구 이화여대길 52,"126.9502882721,37.5644640671,서대문구 이화여대길 52",0,16,33,0.0,29.0,0.0,,기숙사 2인실,23.546875,9.125,5.609375,0.734375,0.6875,2.578125,10.1875,0.3125,2.09375,0.828125,,0.0,3.6666666666666665,3.3333333333333335,4.333333333333333,4.666666666666667,4.666666666666667,4.333333333333333,4.0,3.6666666666666665,3.6666666666666665,4.333333333333333,4.0,4.333333333333333,4.0,3.6666666666666665,4.666666666666667,4.666666666666667,3.0,3.6666666666666665,4.083333333333333,4.0,4.166666666666666,3.9444444444444446,5800.0,29.0
무악학사,기숙사,연세대,서대문구 연희동 7,서대문구 연세로 50,"126.942931621,37.5638048151,서대문구 연세로 50",16,0,36,0.0,20.0,0.0,2.5,기숙사,23.546875,9.125,5.609375,0.734375,0.6875,2.578125,10.1875,0.3125,2.09375,0.828125,,0.0,2.6666666666666665,2.3333333333333335,4.333333333333333,3.3333333333333335,3.6666666666666665,3.6666666666666665,2.6666666666666665,2.6666666666666665,3.3333333333333335,4.0,4.666666666666667,4.333333333333333,3.3333333333333335,3.6666666666666665,3.6666666666666665,4.333333333333333,3.0,4.333333333333333,3.1666666666666665,3.666666666666667,4.5,3.722222222222222,4000.0,20.0
곤자가국제학사,기숙사,서강대,마포구 대흥동 1-1,마포구 백범로 35,"126.9430270357,37.5514684075,마포구 백범로 35",31,34,3,0.0,45.0,0.0,,기숙사 2인실,23.546875,9.125,5.609375,0.734375,0.6875,2.578125,10.1875,0.3125,2.09375,0.828125,종합 편의시설 곤자가플라자 위치,0.0,3.0,3.0,5.0,4.0,3.6666666666666665,3.3333333333333335,3.0,4.0,3.0,3.3333333333333335,5.0,4.333333333333333,3.6666666666666665,3.0,4.0,4.333333333333333,3.0,3.0,3.625,3.166666666666667,4.666666666666666,3.5,9000.0,45.0
벨라르미노학사,기숙사,서강대,마포구 신수동 22-2,마포구 서강대길 18,"126.9401318126,37.5491423995,마포구 서강대길 18",35,34,9,0.0,26.0,0.0,,기숙사 4인실,23.546875,9.125,5.609375,0.734375,0.6875,2.578125,10.1875,0.3125,2.09375,0.828125,종합 편의시설 곤자가플라자 위치,0.0,2.3333333333333335,3.6666666666666665,4.333333333333333,4.333333333333333,3.3333333333333335,4.0,3.3333333333333335,3.0,3.3333333333333335,3.0,5.0,4.666666666666667,3.0,3.0,3.6666666666666665,4.333333333333333,3.3333333333333335,3.6666666666666665,3.541666666666667,3.166666666666667,4.833333333333334,3.5,5200.0,26.0
그레이스 하우스,원룸,대현동,서대문구 대현동 37-18,서대문구 이화여대5길 23,"126.9444343383,37.5582373724,서대문구 이화여대5길 23",16,16,20,1000.0,50.0,8.0,6.0,,91.0,43.0,3.0,0.0,1.0,4.0,62.0,1.0,6.0,0.0,,1.2431887395032448,4.333333333333333,4.666666666666667,5.0,4.666666666666667,5.0,4.666666666666667,4.333333333333333,3.6666666666666665,3.6666666666666665,3.6666666666666665,5.0,3.0,3.6666666666666665,3.6666666666666665,3.3333333333333335,4.0,5.0,5.0,4.541666666666667,3.6666666666666665,4.0,4.111111111111111,12600.0,63.0
이화랑,원룸,대현동,서대문구 대현동 53-33,서대문구 이화여대2가길 8,"126.9463315555,37.5577336916,서대문구 이화여대2가길 8",16,19,18,1000.0,55.0,0.0,,,41.0,28.0,13.0,1.0,0.0,4.0,37.0,0.0,2.0,1.0,,0.6129115240838258,2.6666666666666665,4.0,4.666666666666667,4.333333333333333,3.6666666666666665,3.3333333333333335,4.0,4.0,4.0,3.3333333333333335,5.0,4.333333333333333,3.6666666666666665,3.0,2.6666666666666665,4.0,5.0,5.0,3.833333333333333,3.666666666666667,4.666666666666666,3.888888888888889,12000.0,60.0
마에스트로,원룸,대현동,서대문구 대현동 150,서대문구 이화여대2나길 11,"126.9464717555,37.5579283706,서대문구 이화여대2나길 11",16,20,19,1000.0,70.0,0.0,4.0,,43.0,18.0,8.0,1.0,0.0,4.0,32.0,0.0,1.0,2.0,,0.47579567201772005,3.0,4.0,4.333333333333333,4.333333333333333,3.0,4.333333333333333,4.0,4.333333333333333,3.6666666666666665,4.0,4.0,4.333333333333333,3.0,3.3333333333333335,3.3333333333333335,3.6666666666666665,5.0,5.0,3.916666666666666,3.833333333333333,4.166666666666666,3.8888888888888893,15000.0,75.0
인비따레 오피스텔,원룸,대현동,서대문구 대현동 45-5,서대문구 신촌로 169,"126.9448653609,37.5569509504,서대문구 신촌로 169",18,19,17,1000.0,65.0,0.0,7.0,,25.0,14.0,10.0,1.0,0.0,3.0,22.0,0.0,3.0,3.0,,0.40116017068848375,4.333333333333333,4.666666666666667,5.0,4.666666666666667,3.6666666666666665,3.3333333333333335,4.0,3.6666666666666665,4.333333333333333,4.0,4.0,2.6666666666666665,3.0,4.0,3.6666666666666665,3.6666666666666665,5.0,5.0,4.166666666666667,4.166666666666666,3.333333333333333,4.055555555555555,14000.0,70.0
