ID,음식점,카페,병원/의료,은행,마트/슈퍼,편의점,생활/편의,영화/공연,스포츠시설,관공서,특이사항
한우리집,1,2,0,0,0,1,0,0,1,0,
E-house,1,2,0,1,0,1,2,0,1,0,
I-house,1,0,0,0,1,1,3,0,1,0,
무악학사,1,0,0,0,0,1,0,0,1,0,
곤자가국제학사,9,4,0,1,0,1,6,0,0,0,종합 편의시설 곤자가플라자 위치
벨라르미노학사,8,3,1,1,0,3,8,0,2,0,종합 편의시설 곤자가플라자 위치
그레이스 하우스,91,43,3,0,1,4,62,1,6,0,
이화랑,41,28,13,1,0,4,37,0,2,1,
마에스트로,43,18,8,1,0,4,32,0,1,2,
인비따레 오피스텔,25,14,10,1,0,3,22,0,3,3,
진탁주택,6,3,0,0,0,2,0,0,0,0,
연희 노블레스,6,3,13,2,1,3,14,0,2,0,
대우아트빌,23,11,6,1,3,3,13,0,1,1,
연희동 원룸1,3,1,0,0,0,3,8,0,0,0,
힐탑하우스,11,5,5,1,0,1,3,0,2,0,
아남 오피스텔,20,11,12,1,1,2,8,1,6,2,
창천동 원룸1,45,16,11,1,0,2,12,0,4,0,
창천동 원룸2,46,6,11,2,1,4,5,1,5,0,
서연,0,0,0,0,0,0,2,0,0,0,
창천동 원룸3,0,0,0,0,0,1,1,0,0,0,
신영스카이텔,17,12,15,1,1,2,8,0,5,2,
르메이에르타운5,33,16,20,2,1,2,8,0,7,2,
라인빌,6,3,6,0,0,2,2,1,1,2,
창천동 원룸4,14,1,0,0,0,2,4,0,0,0,
대신동 원룸,0,1,1,0,0,0,1,0,0,0,
제이스퀘어,2,1,0,1,1,2,2,0,0,0,
홍익오피스텔,2,5,1,1,0,3,2,0,0,0,
리더스힐,3,4,2,1,0,4,2,0,0,0,
대신동 원룸2,0,0,1,0,0,1,1,0,0,0,
한지원룸,3,4,2,1,0,4,2,0,0,0,
그레이스타워,1,0,0,0,0,0,0,0,0,0,
대신동 원룸3,2,0,3,1,0,2,0,0,0,0,"세브,란스병원 인접"
금란빌라,3,1,1,1,0,3,2,0,0,0,
드림힐,1,1,1,1,0,2,2,0,0,0,
McCoy 하우스,53,10,29,0,3,3,18,0,3,1,현대백화점 근접
동원주택,12,6,1,0,0,2,1,0,3,0,
우정마샹스,51,3,27,2,1,5,8,0,3,1,
일반원룸,10,0,2,0,2,1,8,0,3,4,
스테이하이,40,8,2,0,2,2,10,0,1,1,
르메이에르타운1차,32,9,43,1,2,4,13,0,3,0,
배꽃원룸텔,46,47,2,0,0,3,36,0,1,2,
소호하우스,62,28,4,1,0,6,32,3,7,2,
오투레지던스,55,7,5,2,3,4,18,3,5,4,
서울고시원,7,1,1,0,2,2,4,0,1,0,
샘골리빙룸,4,0,1,0,0,1,1,0,1,0,
신촌고시원,74,13,1,0,0,5,23,1,7,1,
멀티하우스 연대점,119,42,7,1,0,6,27,0,11,0,02-3146-1013
노블레지던스,43,23,0,0,1,1,10,0,4,0,02-365-1566
유니하우스,26,4,0,0,0,2,2,0,2,0,
이지리빙텔,3,0,3,0,0,1,0,0,0,0,
신촌웰빙고시텔,3,0,3,0,0,1,0,0,0,0,
캔빌고시원,36,7,18,2,2,3,11,3,5,2,
다솔베르크원룸텔,43,11,32,5,4,3,16,0,6,2,
이채하숙,42,33,0,2,1,3,20,0,0,3,
다룸,25,25,18,1,0,4,28,0,1,1,
이화블로섬하우스,53,11,0,0,3,3,41,0,7,3,
지니하숙,9,5,0,0,1,3,4,0,1,1,
월드컵하숙,20,9,1,0,0,3,5,0,2,1,
이연하숙,19,10,0,0,1,1,8,0,3,0,010-9145-4626
비바힐하숙,3,7,6,0,0,1,4,2,0,2,010-6432-8344
재혁이네 하숙집,4,2,1,1,1,4,2,0,0,0,
샬롬하숙,3,4,2,1,0,4,2,0,0,0,
동문하숙,4,3,0,2,0,3,1,0,0,1,
선이네 하숙,19,3,0,2,0,3,1,0,0,1,
꼭지네 하숙,1,0,0,0,0,0,0,0,0,0,
집밥하숙,43,7,1,1,3,2,10,4,6,2,010-6353-3904
비가온,25,22,0,2,1,2,12,0,0,3,
공상가 연세1호점,4,3,0,0,1,2,6,0,0,0,
연희동 쉐어하우스1,1,2,1,0,0,2,3,0,0,0,
사라바 쉐어하우스,66,11,3,0,0,5,12,0,3,0,
